rank,n_cases,mean_dice,std_dice,min_dice,max_dice,mean_hd95,std_hd95,n_inf_hd95,mean_precision,mean_recall,mean_f1,mean_n_pred_lesions,mean_n_gt_lesions,mean_n_tp_lesions,elapsed_sec,MORPH_RADIUS,GAUSSIAN_SIGMA,FLAIR_MIN_THRESHOLD,DIFF_PERCENTILE,DIFF_MIN_THRESHOLD,BRAIN_EROSION_RADIUS,MIN_LESION_VOXELS
127,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,63.05,1,1.0,0.5,96.0,0.3,3,3
128,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,63.1,1,1.0,0.5,96.0,0.3,3,7
129,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,63.08,1,1.0,0.5,96.0,0.5,3,3
130,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,63.09,1,1.0,0.5,96.0,0.5,3,7
131,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,62.39,1,1.0,0.5,96.0,0.7,3,3
132,60,0.144,0.1953,0.0,0.7377,60.193,14.853,0,0.038,0.0199,0.0247,39.9833,78.75,1.5,62.48,1,1.0,0.5,96.0,0.7,3,7
133,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.42,1,1.0,0.3,96.0,0.3,5,3
134,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.8,1,1.0,0.3,96.0,0.3,5,7
135,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.59,1,1.0,0.3,96.0,0.5,5,3
136,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.61,1,1.0,0.3,96.0,0.5,5,7
137,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.66,1,1.0,0.3,96.0,0.7,5,3
138,60,0.1439,0.1961,0.0,0.743,60.5123,15.1031,0,0.0388,0.0193,0.0244,38.0333,78.75,1.4667,63.77,1,1.0,0.3,96.0,0.7,5,7
139,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.5,1,1.0,0.1,96.0,0.3,5,3
140,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.64,1,1.0,0.1,96.0,0.3,5,7
141,60,0.1439,0.1961,0.0,0.743,60.5137,15.1031,0,0.0387,0.0193,0.0244,38.0667,78.75,1.4667,63.38,1,1.0,0.1,96.0,0.5,5,3
